Beneficial owner's Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Destination yard,Commercial operator ,Registered owner ,Built in (y),Sold for ($/ldt),Ldt (light displacement ton),Type of ship,Single hulled,Unnamed: 13
Vietnam,Vietnam National Shipping Lines (VINALINES) ,Sturdy Falcon,7614769,Vietnam,"Alang, India",Falcon Shipping Company Limited ,Falcon Shipping Company Limited ,1980,unknown,unknown,General Cargo ship,Y,
Algeria,Nolis S.p.A.,Sersou,8103822,Algeria,"Aliaga, Turkey",Nolis S.p.A.,Nolis S.p.A.,1982,unknown,unknown,Bulker,Y,
Bulgaria,Government of Bulgaria ,Dimitrovsky Komsomol,8510934,Bulgaria,"Aliaga, Turkey",Navigation Maritime Bulgare Limited (NAVIBULGAR) ,Navibulgar Varna ,1986,309,9654,Bulker,Y,
Bulgaria,Trimpex Union Limited ,Bistretz,7425261,Comoros,"Aliaga, Turkey",Trimpex Union Limited ,Dexia Invest & Trade Incorporated,1980,unknown,3527,Bulker,Y,
Bulgaria,Trimpex Union Limited ,Zagore,7425259,Comoros,"Aliaga, Turkey",Trimpex Union Limited ,Maritime Union Shipping Company Limited ,1978,unknown,unknown,Bulker,Y,
Bulgaria,Vamos Maritime Ltd,Debrene,7523295,Comoros,"Aliaga, Turkey",Unknown,Unknown,1976,unknown,unknown,General cargo ship,Y,
Canada,Algoma Central Corporation ,Goc,6703214,Sierra Leone,"Aliaga, Turkey",Algoma Central Marine Limited ,Algoma Central Marine Limited ,1967,unknown,unknown,Bulker,N,
Canada,Upper Lakes Group Incorporated ,Don,6815237,Sierra Leone,"Aliaga, Turkey",Upper Lakes Shipping Limited ,Upper Lakes Shipping Limited ,1968,unknown,unknown,Bulker,N,
Cayman Islands,Siem Industries Incorporated ,Brasil Star,8906963,Liberia,"Aliaga, Turkey",Siem Shipping Incorporated ,Star Reefers Shipowning Incorporated ,1992,unknown,unknown,Reefer,Y,
Cyprus,Lance Shipping Company Limited,Mirage I,7221433,Sierra Leone,"Aliaga, Turkey",Lance Shipping Company Limited,Magic 1 Cruise Line Corporation ,1973,328,7852,Passenger ship,Y,
Cyprus,Fergun Denizcilik Limited Sirketi ,Calypso,7021807,Turkey,"Aliaga, Turkey",Fergun Denizcilik Limited Sirketi ,Fergun Denizcilik Limited Sirketi ,1970,unknown,unknown,Passenger ship,Y,
Denmark,Rederiet Hansen & Lange I/S,MSC Prospect,9057135,Antigua & Barbuda,"Aliaga, Turkey",Rederiet Hansen & Lange I/S,Papagayo Shipping Company Limited ,1994,350,7200,Containership,N,
Denmark,Avedoere Shipping A/S ,Deima,7041405,Togo,"Aliaga, Turkey",Avedoere Shipping A/S ,Alga Shipping Company Limited ,1970,unknown,845,General cargo ship,Y,
Egypt,Alexandria Navigation S.A. ,Lady Dina,7047368,Bolivia,"Aliaga, Turkey",Alexandria Navigation S.A. ,Alexandria Navigation S.A. ,1971,unknown,unknown,General cargo ship,Y,
Egypt,El Kashawaay Brothers Shipping Company,Rania,7825643,Georgia,"Aliaga, Turkey",El Kashawaay Brothers Shipping Company,Licata Maritime ,1979,unknown,unknown,Reefer,Y,
Egypt,Egypt Trade Maritime Services ,Brooj,7602716,Panama,"Aliaga, Turkey",Egypt Trade Maritime Services ,Brooj Shipping Limited ,1978,unknown,unknown,General cargo ship,N,
Egypt,Kenmar Shipping Agencies ,Uranus,7383956,Tanzania,"Aliaga, Turkey",Kenmar Shipping Agencies ,S & O Nav. Company Incorporated ,1975,unknown,unknown,General cargo ship,Y,
Estonia,Nordic Shipping Group Limited ,Fiona,8008814,Malta,"Aliaga, Turkey",Nordic Shipping Group Limited ,Evir Shipping Company Limited ,1982,unknown,unknown,RoRo,Y,
Finland,Kristiina Lillbacka,Global Carrier,7528647,Finland,"Aliaga, Turkey",Kristiina Lillbacka,Lillbacka Powerco OY ,1978,unknown,unknown,RoRo,Y,
France,CMA CGM S.A. ,FAS Var,9064700,Malta,"Aliaga, Turkey",CMA CGM S.A. ,CMA CGM S.A. ,1994,unknown,unknown,General cargo ship,N,
France,CMA CGM S.A. ,Rabat,8901638,Malta,"Aliaga, Turkey",CMA CGM S.A. ,CMA CGM S.A. ,1990,unknown,unknown,Containership,Y,
Germany,Danz u.Tietjens Schiffahrts KG ,Olympia,8513778,Antigua & Barbuda,"Aliaga, Turkey",Danz u.Tietjens Schiffahrts KG ,ms Olympia Schiffahrtsges. mbH & Company KG,1986,unknown,unknown,Containership,N,
Germany,Hanseatic Schiffahrt und Schiffsmanagement GmbH ,Hanseatic Sea,7524964,Antigua & Barbuda,"Aliaga, Turkey",Hanseatic Schiffahrt und Schiffsmanagement GmbH ,ms Hanseatic Sea Schiffahrtsges mbh & Company ,1977,unknown,unknown,General cargo ship,N,
Germany,Hermann Buss GmbH & Cie KG,Dollart Trader,9162356,Antigua & Barbuda,"Aliaga, Turkey",Hermann Buss GmbH & Cie KG,Hermann Buss KG ms Dollart Trader GmbH & Company,1997,unknown,7393,Containership,Y,
Germany,Reederei Nord GmbH ,Nordstrand,9003299,Cyprus,"Aliaga, Turkey",Reederei Nord GmbH ,Erste Nordcap Schiffahrtsgesellschaft mbH & Company ,1993,325,13700,Containership,Y,
Germany,Martime-Gesellschaft fur Maritime Dienstleistungen mbH ,Fresena,9141120,Liberia,"Aliaga, Turkey",Martime-Gesellschaft fur Maritime Dienstleistungen mbH ,ms Fresena Transcon Beteiligungsges. mbH & Company KG,1997,295,7406,Containership,Y,
Germany,Rickmers Reederei GmbH & Cie KG ,Maria Rickmers,9063976,Marshall Islands,"Aliaga, Turkey",Rickmers-Linie GmbH & Cie KG ,ms Maria Rickmers GmbH & Cie,1993,unknown,unknown,Containership,Y,
Greece,Elena X. Shipping Company ,Elena H.,5270416,Greece,"Aliaga, Turkey",Elena X. Shipping Company ,Elena X. Shipping Company ,1943,unknown,unknown,Product tanker,Y,
Greece,Genimar Shipping & Trading S.A. ,Georgete K.,8309220,Greece,"Aliaga, Turkey",Genimar Shipping & Trading S.A. ,Santos Shipping Special Maritime Enterprises ,1984,unknown,6880,Bulker,Y,
Greece,Hellenic Seaways Maritime S.A.,Hellenic Sailor,7718515,Greece,"Aliaga, Turkey",Hellenic Seaways Maritime S.A.,Hellenic Seaways Maritime S.A.,1978,unknown,10245,RoRo,N,
Greece,Mare Naftiki Etairia ,Nona Mary,7217078,Greece,"Aliaga, Turkey",Mare Naftiki Etairia ,Mare Naftiki Etairia ,1972,unknown,unknown,Passenger ship/RoRo,Y,
Greece,New Lines I Shipping Company ,Nafplio,7011254,Greece,"Aliaga, Turkey",New Lines I Shipping Company ,New Lines I Shipping Company ,1970,unknown,unknown,RoRo,Y,
Greece,Omni Blue Shipping Incorporated ,Houston,9129275,Liberia,"Aliaga, Turkey",Omni Blue Shipping Incorporated ,Omnimar Shipping Limited ,1996,175,10659,Chemical and oil tanker,N,
Greece,Roswell Navigation Corporation ,Pisang,8713598,Liberia,"Aliaga, Turkey",Roswell Navigation Corporation ,Genista Seaway Company ,1990,300,5702,Reefer,Y,
Greece,Roswell Navigation Corporation ,Spring Dragon,8220436,Liberia,"Aliaga, Turkey",Roswell Navigation Corporation ,Global Transport Incorporated ,1984,307,4200,Reefer,Y,
Greece,Pyramis Shipmanagement S.A. ,Filippos,7006388,Moldova,"Aliaga, Turkey",Pyramis Shipmanagement S.A. ,Aretas Navigation S.A. ,1970,unknown,unknown,General cargo ship,Y,
Greece,Th.K. Skoufos & Company,Naxos Express,7432836,Moldova,"Aliaga, Turkey",Th.K. Skoufos & Company,Lester Shipping S.A. ,1976,unknown,unknown,General cargo ship,Y,
Greece,Diavlos Maritime - Fournaraki Bros. ,Pantanassa,7741861,Panama,"Aliaga, Turkey",Diavlos Maritime - Fournaraki Bros. ,Diavlos Pantanassa Incorporated ,1978,unknown,unknown,Tug,Y,
Greece,Istos Maritime Incorporated,Alex King,8013675,Panama,"Aliaga, Turkey",Istos Maritime Incorporated,Voltage Maritime Limited ,1980,unknown,unknown,Bulker,Y,
Greece,Marinos Lines S.A. ,Marinos D.,7425558,Panama,"Aliaga, Turkey",Marinos Lines S.A. ,Leon Sea S.A. ,1976,unknown,unknown,Passenger ship,Y,
Greece,Sarlis Group ,Abdul H.,7015327,Sierra Leone,"Aliaga, Turkey",Sarlis Container Services S.A. ,Sarlis Container Services S.A. ,1970,unknown,unknown,Containership,N,
Greece,Melody Shipping Company ,Aegean Glory,7712121,St Vincent & Grenadines,"Aliaga, Turkey",Melody Shipping Company ,Glory Marine S.A. ,1978,unknown,unknown,RoRo,Y,
Greece,Sea Velvet International S.A. ,Saint Andreas,8206260,St Vincent & Grenadines,"Aliaga, Turkey",Sea Velvet International S.A. ,Sea Velvet Corporation Limited ,1983,346,2866,Containership,N,
Greece,G.A. Ferries S.A. ,Rodanthi,7353078,Togo,"Aliaga, Turkey",G.A. Ferries S.A. ,Ikaria Shipping Company ,1974,unknown,6500,Passenger ship/RoRo,Y,
Greece,Lavinia Corporation Limited ,Frey,8907008,Vanuatu,"Aliaga, Turkey",Lavinia Corporation Limited ,Blue Tide Maritime Limited. ,1991,unknown,unknown,Fish factory,Y,
Italy,Carbofin S.p.A. ,Elba,6928632,Italy,"Aliaga, Turkey",Carbofin Energia Trasporti S.p.A. ,LNG Shipping S.p.A. ,1970,unknown,14481,LNG Tanker,N,
Italy,Carbofin S.p.A. ,LNG Palmaria,6905616,Italy,"Aliaga, Turkey",Carbofin Energia Trasporti S.p.A. ,LNG Shipping S.p.A. ,1969,unknown,unknown,LNG and LPG Tanker,N,
Italy,Italship GruppoCircle Navigazione ,Sider Procida,7434925,Italy,"Aliaga, Turkey",Shipping Technical Management S.r.l. ,Scomar Shipping S.r.l. ,1976,unknown,8777,Bulker,N,
Italy,Onorato Group ,Eliana M.,7350985,Italy,"Aliaga, Turkey",Moby S.p.A. ,Moby S.p.A. ,1978,unknown,unknown,RoRo,Y,
Italy,Stradeblu S.r.l. ,Strada Gothica,7383138,Italy,"Aliaga, Turkey",Stradeblu S.r.l. ,Stradeblu S.r.l. ,1975,unknown,unknown,RoRo,Y,
Italy,Rimorchiatori Laziali Impresa di Salvataggio e Rimorchi S.p.A. ,Storman Asia,7533721,Madeira,"Aliaga, Turkey",Cafimar Chartering & Trading S.p.A. ,MAK Offshore S.p.A. ,1976,unknown,unknown,General cargo ship,Y,
Italy,Aliscafi SNAV SpA (SNAV SpA) ,Ani,8002640,Sierra Leone,"Aliaga, Turkey",Aliscafi SNAV SpA (SNAV SpA) ,Marinvest S.r.l. ,1981,unknown,unknown,RoRo,N,
Italy,Marnavi S.p.A. ,Santa Maria I,7329326,Sierra Leone,"Aliaga, Turkey",Marnavi S.p.A. ,Marnavi Offshore S.r.l. ,1974,unknown,unknown,General cargo ship,Y,
Italy,Vittorio Bogazzi & Figli S.p.A.,Algiers Star,7910852,St Vincent & Grenadines,"Aliaga, Turkey",Vittorio Bogazzi & Figli S.p.A.,Brointermed Lines Limited ,1980,unknown,unknown,Containership,N,
Italy,Adria Maritime S.p.A. ,Adria Blu,7510860,Tanzania,"Aliaga, Turkey",Adria Maritime S.p.A. ,Adria Maritime S.p.A. ,1976,unknown,unknown,General cargo ship,N,
Japan,Nippon Yusen Kaisha (NYK) ,Splendid Harvest,8710364,Liberia,"Aliaga, Turkey",Nippon Yusen Kaisha (NYK) ,NYK Reefers Limited ,1988,unknown,unknown,Reefer,Y,
Japan,Nippon Yusen Kaisha (NYK) ,Stellar Stream,8708311,Panama,"Aliaga, Turkey",Pegasus Maritime Company Limited ,Pegasus Shipholding S.A. ,1988,unknown,unknown,Wood chip carrier,Y,
Latvia,Uniship Limited ,Silver 1,7514579,St Vincent & Grenadines,"Aliaga, Turkey",Uniship Limited ,Panbay ,1976,unknown,unknown,General cargo ship,Y,
Lebanon,Ocean Enterprises S.A. ,Sarah Star,7726926,Cambodia,"Aliaga, Turkey",Ocean Enterprises S.A. ,Sarah Shipping S.A.,1978,unknown,unknown,General cargo ship,Y,
Lebanon,Mira Bassam El Murr ,B.M.Spiridon,6727272,Comoros,"Aliaga, Turkey",Mira Bassam El Murr ,Mira Bassam El Murr ,1967,unknown,unknown,Livestock carrier,Y,
Lebanon,Samar Bassam El Muur ,S.M.Spiridon,7365253,Lebanon,"Aliaga, Turkey",Samar Bassam El Muur ,Samar Bassam El Muur ,1975,unknown,unknown,RoRo,Y,
Libya,Government of Libya,El Mergheb,8027846,Libya,"Aliaga, Turkey",Government of Libya,Government of Libya,1983,unknown,3900,RoRo,Y,
Luxembourg,Sonatrach Petroleum Corporation (BVI) ,Jemila,7905522,Bahamas,"Aliaga, Turkey",Sonatrach Petroleum Corporation (BVI) ,Sonatrach Petroleum Corporation (BVI) ,1983,unknown,unknown,LPG Tanker,Y,
Malta,Tankship Management Limited,Mistra Bay,8009430,Malta,"Aliaga, Turkey",Tankship Management Limited,Mistra Bay ,1981,unknown,unknown,Product tanker,N,
Montenegro,Eurodocks Bijela A.D. ,Reborn,7518032,St Vincent & Grenadines,"Aliaga, Turkey",Eurodocks Bijela A.D. ,Graham Shipping Company ,1975,345,2621,General cargo ship,Y,
Montenegro,Nimont Shipping Limited ,Dak ,7424542,Tanzania,"Aliaga, Turkey",Nimont Shipping Limited ,Nimont Shipping Limited ,1975,unknown,unknown,General cargo ship,Y,
Netherlands,Seatrade Holding B.V. ,Spring Deli,8220424,Curacao,"Aliaga, Turkey",Seatrade Groningen B.V. ,Spring Deli Shipping Company BV ,1984,345,8088,Reefer,N,
Netherlands,Hakvoort Transport Shipping BV ,Kaduna,7128796,Panama,"Aliaga, Turkey",Hakvoort Transport Shipping BV ,Kaduna Shipping S.A. ,1972,unknown,unknown,RoRo,N,
Netherlands,Seatrade Holding B.V. ,Spring Bok,8213677,Netherlands,"Aliaga, Turkey",Seatrade Groningen B.V. ,Zeerederij Zuid-Holland B.V. ,1984,345,7895,Reefer,N,
Netherlands,Seatrade Holding B.V. ,Spring Panda,8213653,Netherlands,"Aliaga, Turkey",Seatrade Groningen B.V. ,Zeerederij Rijnmond B.V.,1984,345,7895,Reefer,Y,
Netherlands,The Peninsular and Oriental Steam Navigation Company ,European Trader,7708778,Netherlands,"Aliaga, Turkey",The Peninsular and Oriental Steam Navigation Company ,The Peninsular and Oriental Steam Navigation Company ,1978,unknown,unknown,RoRo,Y,
Norway,Wilh. Wilhelmsen ASA,Universal Challenger,8108597,Bahamas,"Aliaga, Turkey",Wilhelmsen Ship Management Singapore Private Limited ,Bulk Container Shipping Incorporated ,1983,321,unknown,Bulker,N,
Poland,Polska Zegluga Morska (POLSTEAM) ,Ziemia Gnieznienska,8207771,Liberia,"Aliaga, Turkey",Polska Zegluga Morska (POLSTEAM) ,SMS Lib Limited ,1984,unknown,unknown,Bulker,Y,
Romania,Arados Shipping Company S.r.l.,Arados,7821594,Panama,"Aliaga, Turkey",Arados Shipping Company S.r.l.,Amina H. Shipping Company S.A. ,1979,unknown,2530,Bulk ore carrier,Y,
Romania,Arados Shipping Company S.r.l.,Milano Star,7717200,Panama,"Aliaga, Turkey",Arados Shipping Company S.r.l. ,Ragab Hamada Ragab Arafa Ragab Hamada Ragab ,1979,unknown,unknown,General cargo ship,N,
Romania,Metkar Shipping & Trading Company Srl ,Lady Bana K,7830959,Panama,"Aliaga, Turkey",Metkar Shipping & Trading Company Srl ,Sablon International Corporation ,1979,unknown,4858,General cargo ship,Y,
Russia,Baltic Reefers Limited ,Baltic Melody,7710915,Liberia,"Aliaga, Turkey",OOO Baltic Shipping ,Rivera Group S.A. ,1980,unknown,5900,Reefer,Y,
Russia,Aysberg-Nord Company Limited ,Nikolay Afanasyev,8225606,Russia,"Aliaga, Turkey",Aysberg-Nord Company Limited ,Aysberg-Nord Company Limited ,1982,unknown,3250,Fish factory,Y,
Russia,Joint Stock Company Murmanskiy Trawl Fleet ,Sapphire,8509545,Russia,"Aliaga, Turkey",Joint Stock Company Murmanskiy Trawl Fleet ,Joint Stock Company Murmanskiy Trawl Fleet ,1988,unknown,5827,Reefer,N,
Russia,JSC Northern Shipping Company ,Pioner Moldavii,7741263,Russia,"Aliaga, Turkey",JSC Northern Shipping Company ,JSC Northern Shipping Company ,1979,unknown,3930,General cargo ship,N,
Russia,Murmanrybprom Joint Stock Company ,Leonid Novospasskiy,7704019,Russia,"Aliaga, Turkey",Murmanrybprom Joint Stock Company ,Murmanrybprom Joint Stock Company ,1981,unknown,3153,Fish factory,Y, 
Russia,Murmanrybprom Joint Stock Company ,Sergey Makarevich,8015908,Russia,"Aliaga, Turkey",Murmanrybprom Joint Stock Company ,Murmanrybprom Joint Stock Company ,1981,unknown,3357,Fish factory,Y,
Russia,Far-Eastern Shipping Company (FESCO) ,Khudozhnik Kraynev,8521012,Vanuatu,"Aliaga, Turkey",Fesco Wallem Shipmanagement Limited ,Kraynev Maritime Limited ,1986,312,7755,Bulker,Y,
Slovenia,Transeuropa Shipping Lines d.o.o. ,Voyager,7613882,Togo,"Aliaga, Turkey",Transeuropa Shipping Lines d.o.o. ,Hawthorn Shipping Company Limited ,1978,365,unknown,Passenger ship,Y,
Spain,Compania Naviera de Ceuta S.A. ,Princess Victoria,7901746,Cambodia,"Aliaga, Turkey",Compania Naviera de Ceuta S.A. ,Compania Naviera de Ceuta S.A. ,1980,unknown,unknown,Passenger ship,Y,
Spain,Baltic Atlant Shipping Limited ,Frio Baltasar,7508312,Comoros,"Aliaga, Turkey",Baltic Atlant Shipping Limited ,Rio Mar Pescadores SA ,1978,unknown,2372,Reefer,Y,
Spain,Boluda Group ,Ola,9071040,Cook Islands,"Aliaga, Turkey",Boluda Lines S.A. ,Boluda Lines S.A. ,1994,unknown,unknown,Containership,Y,
Spain,Boluda Group ,Boluda Abrego,6402717,Spain,"Aliaga, Turkey",Boluda Group ,Remolques del Mediterraneo S.A. ,1964,unknown,unknown,Tug,Y,
Spain,Eurocondal Shipping S.A. ,ECS Cristina 1,8513259,St Vincent & Grenadines,"Aliaga, Turkey",Eurocondal Shipping S.A. ,Eurocondal Shipping S.A. ,1987,360,5070,RoRo,N,
St Kitts-Nevis,Melis Shipping,Huma,7126164,Sierra Leone,"Aliaga, Turkey",Melis Shipping,Melis Shipping,1971,unknown,unknown,LPG Tanker,N,
Sweden,Holy House Shipping AB ,Viviana,8220333,Cook Islands,"Aliaga, Turkey",Holy House Shipping AB ,Pink Goose (Cayman) Limited ,1983,302,5460,Reefer,Y,
Switzerland,Maestro Group ,Ice Fern,8818972,Cayman Islands,"Aliaga, Turkey",Maestro Reefers A/S ,Ice Fern Maritime Limited ,1990,unknown,unknown,Reefer,Y,
Switzerland,Maestro Group ,Ice Field,8615239,Cayman Islands,"Aliaga, Turkey",Maestro Reefers A/S ,Ice Field Maritime Limited ,1988,unknown,unknown,Reefer,Y,
Switzerland,Maestro Group ,Ice Flake,8615227,Cayman Islands,"Aliaga, Turkey",Maestro Reefers A/S ,Ice Flake Maritime Limited ,1987,unknown,unknown,Reefer,Y,
Syria,Noor Shipping Company Limited ,Sunrise I,7381386,Cambodia,"Aliaga, Turkey",Noor Shipping Company Limited ,Takeda Maritime S.A. ,1975,unknown,unknown,General cargo ship,N,
Syria,Yass Marine Company Limited ,Asco,7360734,Cambodia,"Aliaga, Turkey",Yass Marine Company Limited ,Ghandoura Group Incorporated ,1974,unknown,unknown,General cargo ship,N,
Syria,ISM Group Limited,Hadia K,7219181,Comoros,"Aliaga, Turkey",ISM Group Limited,Powerful Marine S.A. ,1972,unknown,unknown,General cargo ship,Y,
Syria,Phoenicia Maritime Company LLC ,Vienna S,7615024,Moldova,"Aliaga, Turkey",Phoenicia Maritime Company LLC ,Vienna Shipping Company ,1977,unknown,unknown,General cargo ship,N,
Syria,ISM Group Limited,Haji Wafaa,6701591,Sierra Leone,"Aliaga, Turkey",ISM Group Limited,Hassan M. ,1966,unknown,unknown,General cargo ship,Y,
Syria,Mamari Shipping Company ,Lady Maria,7717743,Sierra Leone,"Aliaga, Turkey",Mamari Shipping Company ,Maria Shipping Company ,1979,unknown,unknown,General cargo ship,Y,
Syria,Unimarine Management Company ,Sea Hope,7637462,Sierra Leone,"Aliaga, Turkey",Unimarine Management Company ,Diamar Shipping and Trading SA ,1978,unknown,unknown,General cargo ship,Y,
Syria,B & B Shipping Company Limited,Amal,7703003,Tanzania,"Aliaga, Turkey",B & B Shipping Company Limited,B & B Shipping Company Limited,1978,unknown,1032,General cargo ship,Y,
Syria,ISM Group Limited ,Loard Yaakob,7026558,Tanzania,"Aliaga, Turkey",ISM Group Limited ,ISM Group Limited ,1970,unknown,unknown,General cargo ship,Y,
Syria,Murak AK ,Fahim,7504914,Tanzania,"Aliaga, Turkey",Murak AK ,Murak AK ,1975,unknown,unknown,General cargo ship,Y,
Taiwan,Taiwan Maritime Transportation Company Limited (TMT Company Limited) ,Andios,8508735,Moldova,"Aliaga, Turkey",Taiwan Maritime Transportation Company Limited (TMT Company Limited) ,Grande Marine S.A. ,1986,unknown,8611,Wood chip carrier,Y,
Turkey,CK Shipping & Trading Limited ,Lisa,6905331,Comoros,"Aliaga, Turkey",CK Shipping & Trading Limited ,Lisa Shipping Incorporated ,1969,unknown,unknown,General cargo ship,Y,
Turkey,Atlas Shipping & Trading Limited ,Chronis,7911583,Georgia,"Aliaga, Turkey",Atlas Shipping & Trading Limited ,Sete Shipping Incorporated ,1981,unknown,unknown,General cargo ship,Y,
Turkey,Tuba Denizcilik Sanayi ve Ticaret Limited ,Navigator,7707425,Georgia,"Aliaga, Turkey",Tuba Denizcilik Sanayi ve Ticaret Limited ,Albo Shipping & Trading Company Incorporated ,1980,unknown,unknown,General cargo ship,N,
Turkey,Binner Group Incorporated ,Fatma Topal,8303329,Kiribati,"Aliaga, Turkey",Binner Group Incorporated ,Binner Group Incorporated ,1983,unknown,5031,General cargo ship,N,
Turkey,Platin Shipping & Trading Company Limited ,Goodwill,7921045,Malta,"Aliaga, Turkey",Platin Shipping & Trading Company Limited ,Platin Shipping & Trading Company Limited ,1987,unknown,unknown,General cargo ship,N,
Turkey,Selkar Gemicilik A.S. ,Hunter,8014239,Malta,"Aliaga, Turkey",Selkar Gemicilik A.S. ,Hunter Maritime Limited ,1980,unknown,unknown,Bulker,Y,
